timestamp,raw_value,attention
1615778312.759017,-57,43
1615778312.769173,-68,43
1615778312.776948,-65,43
1615778312.786595,-44,43
1615778312.796549,-28,43
1615778312.804149,-43,43
1615778312.814392,-28,43
1615778312.8215199,0,43
1615778312.831847,9,43
1615778312.839238,23,43
1615778312.8491578,51,43
1615778312.8578901,74,43
1615778312.866552,13,43
1615778312.8702211,16,43
1615778312.8702211,16,43
1615778312.8702211,16,43
1615778312.8702211,16,43
1615778312.908979,53,43
1615778312.91607,164,43
1615778312.9279811,165,43
1615778312.936533,80,43
1615778312.942872,81,43
1615778312.9527638,118,43
1615778312.960298,38,43
1615778312.967846,29,43
1615778312.976465,-24,43
1615778312.984022,-45,43
1615778312.991627,16,43
1615778313.001503,3,43
1615778313.008946,0,43
1615778313.016494,-4,43
1615778313.0265799,-10,43
1615778313.0340412,-39,43
1615778313.042701,-39,43
1615778313.0503428,-26,43
1615778313.058058,-8,43
1615778313.068179,0,43
1615778313.075514,35,43
1615778313.0844202,74,43
1615778313.091865,-5,43
1615778313.099403,37,43
1615778313.107859,44,43
1615778313.114364,53,43
1615778313.1240451,13,43
1615778313.1344051,22,43
1615778313.1430311,76,43
1615778313.1505542,45,43
1615778313.1515882,37,43
1615778313.1515882,37,43
1615778313.1515882,37,43
1615778313.1515882,37,43
1615778313.1515882,37,43
1615778313.1515882,37,43
1615778313.208438,10,51
1615778313.221893,40,51
1615778313.231746,203,51
1615778313.2405949,185,51
1615778313.249372,82,51
1615778313.25816,103,51
1615778313.265568,49,51
1615778313.275334,-122,51
1615778313.279158,-82,51
1615778313.279158,-82,51
1615778313.279158,-82,51
1615778313.310522,-1,51
1615778313.320307,139,51
1615778313.329171,19,51
1615778313.339262,-22,51
1615778313.3468711,-13,51
1615778313.356769,19,51
1615778313.364096,17,51
1615778313.374224,-7,51
1615778313.3818722,-49,51
1615778313.391756,17,51
1615778313.40171,-41,51
1615778313.409281,-38,51
1615778313.418095,-6,51
1615778313.425358,-37,51
1615778313.4331148,-38,51
1615778313.442781,-40,51
1615778313.450232,-17,51
1615778313.450232,-17,51
1615778313.450232,-17,51
1615778313.450232,-17,51
1615778313.450232,-17,51
1615778313.450232,-17,51
1615778313.450232,-17,51
1615778313.5115142,51,51
1615778313.519449,139,51
1615778313.5276978,37,51
1615778313.536512,-7,51
1615778313.5465071,11,51
1615778313.554017,23,51
1615778313.561467,-8,51
1615778313.569008,7,51
1615778313.5789492,-61,51
1615778313.5889652,13,51
1615778313.596454,54,51
1615778313.606474,4,51
1615778313.6152,-3,51
1615778313.624026,-57,51
1615778313.632811,-58,51
1615778313.641536,-4,51
1615778313.650314,-38,51
1615778313.658946,-22,51
1615778313.665174,-12,51
1615778313.675251,-49,51
1615778313.68273,37,51
1615778313.69275,-7,51
1615778313.7004008,104,51
1615778313.70902,73,51
1615778313.718135,59,51
1615778313.7281091,87,51
1615778313.735479,66,51
1615778313.744388,9,51
1615778313.752817,42,51
1615778313.759233,66,51
1615778313.770346,-41,51
1615778313.770346,-41,51
1615778313.770346,-41,51
1615778313.770346,-41,51
1615778313.806869,18,51
1615778313.816757,187,51
1615778313.822081,187,51
1615778313.835413,176,51
1615778313.844278,197,51
1615778313.8493319,185,51
1615778313.860495,131,51
1615778313.870314,40,51
1615778313.878026,-1,51
1615778313.887787,-11,51
1615778313.897897,60,51
1615778313.905456,70,51
1615778313.915645,-13,51
1615778313.9191139,-6,51
1615778313.9191139,-6,51
1615778313.9191139,-6,51
1615778313.950311,82,51
1615778313.9580631,86,51
1615778313.967885,23,51
1615778313.9777558,84,51
1615778313.987721,71,51
1615778313.997736,6,51
1615778314.005214,16,51
1615778314.015229,0,51
1615778314.023936,-82,51
1615778314.03024,-25,51
1615778314.040283,21,51
1615778314.047694,26,51
1615778314.056545,-14,51
1615778314.064168,6,51
1615778314.0691772,-18,51
1615778314.0691772,-18,51
1615778314.0691772,-18,51
1615778314.0691772,-18,51
1615778314.1092322,-90,51
1615778314.118125,203,51
1615778314.124236,199,51
1615778314.134418,147,51
1615778314.142001,131,51
1615778314.151893,116,51
1615778314.151893,116,51
1615778314.151893,116,51
1615778314.151893,116,51
1615778314.187999,44,47
1615778314.198266,131,47
1615778314.206893,75,47
1615778314.214135,56,47
1615778314.224239,64,47
1615778314.2343922,67,47
1615778314.2442648,-22,47
1615778314.2519932,9,47
1615778314.259161,-26,47
1615778314.268991,-54,47
1615778314.275202,-60,47
1615778314.285216,-172,47
1615778314.2942562,-10,47
1615778314.304084,9,47
1615778314.311765,-43,47
1615778314.321601,-50,47
1615778314.331817,-10,47
1615778314.3394072,-3,47
1615778314.346658,54,47
1615778314.356763,26,47
1615778314.366899,50,47
1615778314.369136,50,47
1615778314.369136,50,47
1615778314.369136,50,47
1615778314.369136,50,47
1615778314.4090009,23,47
1615778314.420295,137,47
1615778314.428003,54,47
1615778314.436642,39,47
1615778314.443993,68,47
1615778314.4468539,102,47
1615778314.46272,114,47
1615778314.470243,118,47
1615778314.48024,51,47
1615778314.487752,114,47
1615778314.497699,18,47
1615778314.507778,68,47
1615778314.51523,-7,47
1615778314.522764,-54,47
1615778314.532753,-19,47
1615778314.540242,12,47
1615778314.547769,24,47
1615778314.557795,-42,47
1615778314.557795,-42,47
1615778314.557795,-42,47
1615778314.58399,-2,47
1615778314.592716,166,47
1615778314.6002529,184,47
1615778314.608994,70,47
1615778314.6165388,114,47
1615778314.6265368,49,47
1615778314.634151,-25,47
1615778314.6440132,-21,47
1615778314.651511,-59,47
1615778314.658953,72,47
1615778314.6690629,12,47
1615778314.6690629,12,47
1615778314.6690629,12,47
1615778314.6690629,12,47
1615778314.705398,-10,47
1615778314.71471,184,47
1615778314.724189,99,47
1615778314.730331,38,47
1615778314.730331,38,47
1615778314.74942,82,47
1615778314.757955,148,47
1615778314.768129,68,47
1615778314.7755148,-11,47
1615778314.7844,38,47
1615778314.7943838,8,47
1615778314.801791,-18,47
1615778314.8106189,36,47
1615778314.818143,45,47
1615778314.825346,17,47
1615778314.835671,-2,47
1615778314.843153,-102,47
1615778314.852882,-38,47
1615778314.8602948,52,47
1615778314.870305,39,47
1615778314.878027,8,47
1615778314.887789,49,47
1615778314.8980212,-12,47
1615778314.907886,41,47
1615778314.9156249,1,47
1615778314.923004,84,47
1615778314.933038,89,47
1615778314.94298,54,47
1615778314.950536,33,47
1615778314.9617689,17,47
1615778314.967884,16,47
1615778314.970293,26,47
1615778314.970293,26,47
1615778314.970293,26,47
1615778314.970293,26,47
1615778315.0115352,-39,47
1615778315.020258,136,47
1615778315.0265741,160,47
1615778315.036639,129,47
1615778315.044001,34,47
1615778315.054085,49,47
1615778315.061902,20,47
1615778315.0704901,-52,47
1615778315.071917,-60,47
1615778315.087847,-44,47
1615778315.096768,130,47
1615778315.106516,42,47
1615778315.112928,21,47
1615778315.123064,75,47
1615778315.1306381,99,47
1615778315.140525,128,47
1615778315.147968,60,47
1615778315.1519911,50,47
1615778315.1668968,85,43
1615778315.175382,112,43
1615778315.183018,87,43
1615778315.192929,5,43
1615778315.199284,-30,43
1615778315.199284,-30,43
1615778315.199284,-30,43
1615778315.2269151,-82,43
1615778315.236796,165,43
1615778315.244401,134,43
1615778315.252979,104,43
1615778315.259281,74,43
1615778315.269408,87,43
1615778315.2703638,97,43
1615778315.2703638,97,43
1615778315.2703638,97,43
1615778315.2703638,97,43
1615778315.3122072,85,43
1615778315.3204212,73,43
1615778315.329278,43,43
1615778315.337915,103,43
1615778315.346889,24,43
1615778315.3542101,-20,43
1615778315.3630111,-22,43
1615778315.370473,21,43
1615778315.37802,-29,43
1615778315.38803,65,43
1615778315.395555,74,43
1615778315.406833,3,43
1615778315.413027,1,43
1615778315.4228458,-46,43
1615778315.433168,-93,43
1615778315.44031,-19,43
1615778315.450301,16,43
1615778315.457794,9,43
1615778315.466572,38,43
1615778315.4765,66,43
1615778315.484052,50,43
1615778315.4952462,5,43
1615778315.503016,52,43
1615778315.5115101,69,43
1615778315.519155,13,43
1615778315.526528,48,43
1615778315.534202,9,43
1615778315.542807,-6,43
1615778315.552852,84,43
