timestamp,raw_value,attention
1614825985.731219,107,48
1614825985.746252,71,48
1614825985.7615879,12,48
1614825985.771938,24,48
1614825985.78706,39,48
1614825985.802251,104,48
1614825985.813786,115,48
1614825985.8181,109,48
1614825985.8181,109,48
1614825985.857198,35,48
1614825985.871256,77,48
1614825985.88309,82,48
1614825985.8935528,54,48
1614825985.909121,33,48
1614825985.924921,54,48
1614825985.9322398,52,48
1614825985.940514,25,48
1614825985.956961,12,48
1614825985.9687839,20,48
1614825985.983615,182,48
1614825985.995162,107,48
1614825986.006027,100,48
1614825986.023555,53,48
1614825986.033698,40,48
1614825986.038273,34,48
1614825986.038273,34,48
1614825986.073013,97,48
1614825986.08572,81,48
1614825986.100008,101,48
1614825986.1148028,64,48
1614825986.1193159,90,48
1614825986.1422741,75,48
1614825986.157085,49,48
1614825986.172225,166,43
1614825986.188287,70,43
1614825986.19869,13,43
1614825986.2101471,42,43
1614825986.221189,50,43
1614825986.235748,22,43
1614825986.247543,-30,43
1614825986.258821,32,43
1614825986.270509,37,43
1614825986.278374,40,43
1614825986.297366,67,43
1614825986.314622,59,43
1614825986.327858,28,43
1614825986.341683,42,43
1614825986.3573172,28,43
1614825986.372399,84,43
1614825986.38373,100,43
1614825986.39579,45,43
1614825986.411276,10,43
1614825986.4203038,9,43
1614825986.4203038,9,43
1614825986.455057,92,43
1614825986.4699771,118,43
1614825986.484889,35,43
1614825986.496146,52,43
1614825986.511829,50,43
1614825986.5273752,113,43
1614825986.534935,87,43
1614825986.550933,33,43
1614825986.561764,57,43
1614825986.5738199,41,43
1614825986.588917,56,43
1614825986.599904,39,43
1614825986.6108532,103,43
1614825986.625785,121,43
1614825986.640874,73,43
1614825986.6524951,64,43
1614825986.667833,40,43
1614825986.6785438,67,43
1614825986.6901498,85,43
1614825986.701185,105,43
1614825986.712527,87,43
1614825986.717563,60,43
1614825986.7445629,66,43
1614825986.761363,83,43
1614825986.774517,36,43
1614825986.789566,97,43
1614825986.800931,100,43
1614825986.816152,82,43
1614825986.827888,38,43
1614825986.839481,33,43
1614825986.843851,20,43
1614825986.864874,27,43
1614825986.882826,92,43
1614825986.894753,98,43
1614825986.909633,61,43
1614825986.918666,87,43
1614825986.93585,58,43
1614825986.952018,68,43
1614825986.967051,103,43
1614825986.97826,82,43
1614825986.989726,98,43
1614825987.000906,65,43
1614825987.016937,48,43
1614825987.016937,48,43
1614825987.045772,27,43
1614825987.054571,40,43
1614825987.069966,114,43
1614825987.085439,32,43
1614825987.099818,64,43
1614825987.113597,20,43
1614825987.113597,20,43
1614825987.140437,64,43
1614825987.157658,114,43
1614825987.172101,146,35
1614825987.187021,72,35
1614825987.202124,60,35
1614825987.213876,29,35
1614825987.2291222,1,35
1614825987.240041,5,35
1614825987.254606,58,35
1614825987.270242,58,35
1614825987.2811499,51,35
1614825987.29235,101,35
1614825987.3074582,73,35
1614825987.319987,83,35
1614825987.319987,83,35
1614825987.3494852,42,35
1614825987.364415,100,35
1614825987.37622,96,35
1614825987.3877099,40,35
1614825987.398839,-23,35
1614825987.410354,-38,35
1614825987.4252312,-5,35
1614825987.436241,39,35
1614825987.451105,80,35
1614825987.467407,64,35
1614825987.482017,58,35
1614825987.49647,-2,35
1614825987.5085912,70,35
1614825987.523691,108,35
1614825987.5392032,140,35
1614825987.5541492,97,35
1614825987.570775,35,35
1614825987.585532,-41,35
1614825987.5976808,19,35
1614825987.612837,67,35
1614825987.6224399,105,35
1614825987.6224399,105,35
1614825987.652176,118,35
1614825987.667124,82,35
1614825987.6825228,-21,35
1614825987.697056,-50,35
1614825987.712231,0,35
1614825987.7236412,36,35
1614825987.735394,162,35
1614825987.750398,109,35
1614825987.761198,98,35
1614825987.772733,70,35
1614825987.78397,73,35
1614825987.799245,11,35
1614825987.814634,36,35
1614825987.825907,87,35
1614825987.841233,80,35
1614825987.856329,77,35
1614825987.8678,19,35
1614825987.884483,-10,35
1614825987.90084,-3,35
1614825987.91272,1,35
1614825987.916838,12,35
1614825987.942389,51,35
1614825987.957385,115,35
1614825987.97198,60,35
1614825987.986905,8,35
1614825987.998142,5,35
1614825988.013433,32,35
1614825988.024433,59,35
1614825988.036478,72,35
1614825988.0514429,85,35
1614825988.066735,42,35
1614825988.0812402,89,35
1614825988.096409,55,35
1614825988.111827,114,35
1614825988.127148,150,35
1614825988.1390028,96,35
1614825988.147914,81,35
1614825988.147914,81,35
1614825988.183579,32,27
1614825988.194154,82,27
1614825988.194154,82,27
1614825988.194154,82,27
1614825988.194154,82,27
1614825988.2483032,23,27
1614825988.2595682,123,27
1614825988.27457,65,27
1614825988.289533,19,27
1614825988.3009229,48,27
1614825988.316253,39,27
1614825988.3313081,102,27
1614825988.346709,90,27
1614825988.3586931,82,27
1614825988.373964,64,27
1614825988.388847,56,27
1614825988.404159,56,27
1614825988.418648,60,27
1614825988.430408,28,27
1614825988.445431,104,27
1614825988.45616,88,27
1614825988.4679308,80,27
1614825988.478899,40,27
1614825988.494519,40,27
1614825988.506172,49,27
1614825988.506172,49,27
1614825988.506172,49,27
1614825988.545842,33,27
1614825988.560231,103,27
1614825988.560231,103,27
1614825988.5844638,92,27
1614825988.602441,81,27
1614825988.6136582,75,27
1614825988.627904,58,27
1614825988.642281,34,27
1614825988.653931,24,27
1614825988.653931,24,27
1614825988.653931,24,27
1614825988.7007518,71,27
1614825988.7144582,39,27
1614825988.7290208,65,27
1614825988.7429838,56,27
1614825988.75751,120,27
1614825988.7613592,122,27
1614825988.7835362,70,27
1614825988.7990441,34,27
1614825988.8121831,26,27
1614825988.8121831,26,27
1614825988.8121831,26,27
1614825988.8121831,26,27
1614825988.870573,69,27
1614825988.885033,48,27
1614825988.9004622,32,27
1614825988.915905,39,27
1614825988.9296,168,27
1614825988.940064,147,27
1614825988.9509592,100,27
1614825988.966362,71,27
1614825988.966362,71,27
1614825988.993844,51,27
1614825989.004499,-83,27
1614825989.016088,172,27
1614825989.016088,172,27
1614825989.050161,170,27
1614825989.062199,98,27
1614825989.07232,42,27
1614825989.0798888,22,27
1614825989.0798888,22,27
1614825989.0798888,22,27
1614825989.0798888,22,27
1614825989.0798888,22,27
1614825989.0798888,22,27
1614825989.0798888,22,27
1614825989.1851819,-41,27
1614825989.195681,-21,27
1614825989.195681,-21,27
1614825989.195681,-21,27
1614825989.2440479,83,27
1614825989.253624,104,24
1614825989.253624,104,24
1614825989.253624,104,24
1614825989.29866,24,24
1614825989.313594,99,24
1614825989.317659,85,24
1614825989.317659,85,24
1614825989.357962,68,24
1614825989.3716638,27,24
1614825989.383683,93,24
1614825989.383683,93,24
1614825989.383683,93,24
1614825989.383683,93,24
1614825989.383683,93,24
1614825989.383683,93,24
1614825989.383683,93,24
1614825989.383683,93,24
1614825989.483496,82,24
1614825989.510185,67,24
1614825989.510185,67,24
1614825989.533296,69,24
1614825989.550188,151,24
1614825989.5554318,-17,24
1614825989.5554318,-17,24
1614825989.5554318,-17,24
1614825989.598232,2,24
1614825989.6125288,102,24
1614825989.620013,70,24
1614825989.620013,70,24
1614825989.656079,8,24
1614825989.6710558,124,24
1614825989.678655,91,24
1614825989.700458,65,24
1614825989.710769,28,24
1614825989.710769,28,24
1614825989.7464929,19,24
1614825989.74988,9,24
1614825989.74988,9,24
1614825989.74988,9,24
1614825989.8033438,80,24
1614825989.8033438,80,24
1614825989.8033438,80,24
1614825989.8033438,80,24
1614825989.861315,49,24
1614825989.876276,108,24
1614825989.8897421,27,24
1614825989.898386,55,24
1614825989.898386,55,24
1614825989.934925,35,24
1614825989.947308,72,24
1614825989.960856,92,24
1614825989.960856,92,24
1614825989.960856,92,24
1614825989.999281,72,24
1614825990.012536,55,24
1614825990.015777,58,24
1614825990.015777,58,24
1614825990.057364,64,24
1614825990.0743868,136,24
1614825990.086316,25,24
1614825990.089934,5,24
1614825990.089934,5,24
1614825990.126446,-1,24
1614825990.1336231,16,24
1614825990.1336231,16,24
1614825990.1336231,16,24
1614825990.182058,106,24
1614825990.198329,33,27
1614825990.206145,24,27
1614825990.206145,24,27
1614825990.237856,35,27
1614825990.255114,69,27
1614825990.262746,38,27
1614825990.262746,38,27
1614825990.299126,34,27
1614825990.313945,76,27
1614825990.3200371,68,27
1614825990.3200371,68,27
1614825990.3200371,68,27
1614825990.3685179,32,27
1614825990.3685179,32,27
1614825990.3685179,32,27
1614825990.414631,34,27
1614825990.418112,41,27
1614825990.418112,41,27
